,COEFF,QUARTER,REFYEAR,REFWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
7081,0.5953638416,_A,2004,23,DK,3.0,1,9,2.0,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99,9.0,4,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,1,1.0,3.0,1.0,8.0,2.0,1.0,1.0,L,999.0,,9.0,9.0,9.0,9,9,9.0,9.0
7086,0.0729237673,_A,2004,24,DK,0.0,1,9,1.0,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,6.0,1.0,1.0,9.0,38.0,38.0,,,97.0,1.0,50.0,1.0,2.0,0.0,10.0,9.0,9999.0,99,9.0,9,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,12.0,,,,9.0,9,9,,9.0
7093,0.4257479179,_A,2004,14,DK,3.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1990.0,99.0,1.0,1.0,9.0,37.0,29.0,,,11.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,168.0,,,9.0,9.0,9,9,9.0,9.0
7094,0.0913851557,_A,2004,19,DK,0.0,1,9,2.0,2,5,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2001.0,99,5.0,4,2.0,3.0,1,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,L,999.0,7.0,9.0,9.0,,9,9,9.0,
7104,0.0826269682,_A,2004,16,DK,0.0,1,9,2.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,2.0,1.0,1.0,9.0,37.0,35.0,,,14.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,14.0,,,9.0,9.0,9,9,9.0,9.0
7105,0.0807408262,_A,2004,14,DK,3.0,1,9,2.0,2,4,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,6,5.0,4,2.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,148.0,2.0,3.0,1.0,M,999.0,6.0,9.0,9.0,,9,9,9.0,
7131,0.0894731858,_A,2004,22,DK,0.0,1,9,1.0,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,6,0.0,4,2.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,M,999.0,6.0,9.0,9.0,,9,9,9.0,
7133,0.4191352133,_A,2004,14,DK,0.0,1,9,3.0,2,4,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,5,5.0,4,2.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,M,999.0,4.0,9.0,9.0,,9,9,9.0,
7137,0.493100908,_A,2004,23,DK,0.0,1,9,3.0,2,6,2004,1,2,32.0,005-EU28,5.0,005-EU28,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,6.0,1.0,2.0,4.0,37.0,37.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,12.0,,,9.0,9.0,9,9,9.0,9.0
7139,0.1123691727,_A,2004,26,DK,3.0,1,9,1.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,6,5.0,4,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,L,999.0,1.0,9.0,9.0,,9,9,9.0,
7141,0.08764525,_A,2004,19,DK,0.0,1,9,3.0,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,1998.0,99,5.0,4,3.0,3.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,8.0,9.0,9.0,,9,9,9.0,
7142,0.1216563065,_A,2004,22,DK,0.0,1,9,1.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,1.0,1.0,2.0,4.0,37.0,37.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,2.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,4.0,,,9.0,9.0,9,9,9.0,9.0
7164,0.0579725506,_A,2004,14,DK,0.0,1,9,2.0,2,4,2004,1,2,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,1999.0,99,5.0,4,3.0,3.0,1,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,86.0,2.0,3.0,1.0,H,999.0,8.0,9.0,9.0,,9,9,9.0,
7169,0.1236335718,_A,2004,14,DK,0.0,1,9,2.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,11.0,1.0,1.0,9.0,37.0,37.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,5.0,,,9.0,9.0,9,9,9.0,9.0
7174,0.4197900778,_A,2004,16,DK,0.0,1,9,2.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,3,5.0,4,2.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,9.0,0.0,L,999.0,2.0,9.0,9.0,,9,9,9.0,
7175,0.0785499573,_A,2004,20,DK,0.0,1,9,3.0,2,5,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,5,5.0,4,2.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,7.0,9.0,9.0,,9,9,9.0,
7210,0.4077785537,_A,2004,14,DK,3.0,1,9,1.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,3,5.0,4,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,L,999.0,2.0,9.0,9.0,,9,9,9.0,
7220,0.5581992603,_A,2004,16,DK,0.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2000.0,99.0,2.0,2.0,8.0,3.0,3.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,2,1.0,5.0,2.0,999.0,1.0,9.0,1.0,M,48.0,,,9.0,9.0,9,9,9.0,9.0
7226,0.2268748826,_A,2004,26,DK,3.0,1,9,1.0,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,4,5.0,4,3.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,2.0,9.0,9.0,,9,9,9.0,
7236,0.1023953323,_A,2004,17,DK,0.0,1,9,2.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
7248,0.1498825371,_A,2004,24,DK,0.0,1,9,3.0,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,1,5.0,4,3.0,1.0,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,1.0,,3.0,9.0,1.0,L,999.0,3.0,9.0,9.0,,9,9,9.0,
7254,0.0876173818,_A,2004,23,DK,0.0,1,9,2.0,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2003.0,9.0,1.0,1.0,9.0,37.0,0.0,,,99.0,1.0,37.0,1.0,2.0,0.0,15.0,9.0,9999.0,99,9.0,9,,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,15.0,1.0,9.0,1.0,M,9.0,,,,9.0,9,9,,9.0
7291,0.0764338278,_A,2004,14,DK,3.0,1,9,2.0,2,4,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2001.0,99,5.0,4,2.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,7.0,9.0,9.0,,9,9,9.0,
7307,0.0735919586,_A,2004,16,DK,0.0,1,9,3.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,8.0,1.0,1.0,9.0,30.0,30.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,150.0,1.0,9.0,1.0,H,20.0,,,9.0,9.0,9,9,9.0,9.0
7331,0.0778551404,_A,2004,18,DK,3.0,1,9,2.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,1.0,1.0,2.0,1.0,35.0,35.0,,,97.0,1.0,28.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,5.0,1.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,3.0,1.0,9.0,1.0,L,3.0,,,9.0,9.0,9,9,9.0,9.0
7351,0.0397844385,_A,2004,14,DK,0.0,1,9,3.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,8.0,1.0,2.0,4.0,37.0,37.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,8.0,,,9.0,9.0,9,9,9.0,9.0
7367,0.4100097689,_A,2004,14,DK,3.0,1,9,2.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2002.0,7.0,1.0,1.0,9.0,37.0,0.0,,,99.0,,37.0,1.0,2.0,0.0,5.0,9.0,9999.0,99,9.0,9,,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,,1.0,9.0,1.0,M,21.0,,,,9.0,9,9,,9.0
7376,0.1279915327,_A,2004,15,DK,0.0,1,9,2.0,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99,9.0,4,3.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,,9.0,9.0,9.0,9,9,9.0,9.0
7387,0.0681687381,_A,2004,24,DK,0.0,1,9,1.0,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,5,5.0,4,3.0,3.0,1,0,0,0,1,1,1,0,0,0,0,0,1,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,5.0,9.0,9.0,,9,9,9.0,
7413,0.0724931157,_A,2004,16,DK,0.0,1,9,2.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,4,5.0,4,3.0,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,5.0,9.0,9.0,,9,9,9.0,
7426,0.1299891296,_A,2004,18,DK,0.0,1,9,2.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,4,5.0,9,000-OWN COUNTRY,2004.0,5.0,1.0,1.0,9.0,37.0,0.0,,,99.0,1.0,50.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,0.0,,,9.0,9.0,9,9,9.0,9.0
7437,0.5431572156,_A,2004,18,DK,,1,9,3.0,2,4,2004,1,2,20.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,6.0,2.0,1.0,9.0,15.0,15.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,L,10.0,,,9.0,9.0,9,9,9.0,9.0
7463,0.5557324888,_A,2004,26,DK,3.0,1,9,2.0,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,1998.0,99,5.0,4,4.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,H,999.0,8.0,9.0,9.0,,9,9,9.0,
7471,0.566174775,_A,2004,17,DK,0.0,1,9,2.0,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,12.0,1.0,1.0,9.0,40.0,40.0,,,97.0,,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,,1.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,4.0,,,9.0,9.0,9,9,9.0,9.0
7473,0.0574505387,_A,2004,26,DK,3.0,1,9,1.0,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,6,5.0,4,3.0,3.0,1,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,H,999.0,1.0,9.0,9.0,,9,9,9.0,
7482,0.6512475244,_A,2004,24,DK,3.0,1,9,1.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,6,5.0,4,3.0,3.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,M,999.0,7.0,9.0,9.0,,9,9,9.0,
7486,0.0576103127,_A,2004,15,DK,0.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,12.0,2.0,1.0,9.0,15.0,6.0,,,12.0,1.0,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,6.0,3.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,4.0,,,9.0,9.0,9,9,9.0,9.0
7495,0.071834978,_A,2004,18,DK,0.0,1,9,3.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,5.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
7500,0.1018781091,_A,2004,16,DK,3.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,3,5.0,4,2.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,3.0,2.0,1.0,1.0,L,999.0,2.0,9.0,9.0,,9,9,9.0,
7508,0.5930548608,_A,2004,21,DK,0.0,1,9,1.0,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,12.0,1.0,1.0,9.0,37.0,33.0,,,12.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,17.0,,,9.0,9.0,9,9,9.0,9.0
7517,0.0736075045,_A,2004,14,DK,3.0,1,9,3.0,2,4,2004,1,1,65.0,005-EU28,11.0,005-EU28,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,12.0,1.0,2.0,5.0,34.0,34.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,2.0,1,0,0,1,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,4.0,,,9.0,9.0,9,9,9.0,9.0
7527,0.0737845429,_A,2004,15,DK,0.0,1,9,1.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,9,5.0,4,2.0,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,H,999.0,4.0,9.0,9.0,,9,9,9.0,
7543,0.0636081836,_A,2004,26,DK,0.0,1,9,3.0,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,5.0,2.0,1.0,9.0,10.0,10.0,,,97.0,1.0,40.0,1.0,2.0,5.0,4.0,9.0,9999.0,99,9.0,9,3.0,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,1.0,,,,9.0,9,9,,9.0
7569,0.1007627464,_A,2004,23,DK,0.0,1,9,3.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,4,5.0,4,3.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,2.0,9.0,9.0,,9,9,9.0,
7582,0.136944926,_A,2004,14,DK,3.0,1,9,1.0,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,10,5.0,4,3.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,L,999.0,4.0,9.0,9.0,,9,9,9.0,
7585,0.8475348619,_A,2004,17,DK,0.0,1,9,3.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2001.0,99.0,2.0,2.0,7.0,30.0,30.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,L,36.0,,,9.0,9.0,9,9,9.0,9.0
7586,0.4029689971,_A,2004,23,DK,0.0,1,9,1.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,3.0,1.0,1.0,9.0,50.0,50.0,,,97.0,,50.0,1.0,2.0,0.0,5.0,9.0,9999.0,99,9.0,9,,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,27.0,,,,9.0,9,9,,9.0
7589,0.4333215097,_A,2004,21,DK,3.0,1,9,1.0,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,7.0,2.0,1.0,9.0,28.0,20.0,,,11.0,1.0,28.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,5.0,2.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,10.0,,,9.0,9.0,9,9,9.0,9.0
7593,0.0992682253,_A,2004,16,DK,3.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,10,5.0,4,2.0,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,6.0,2.0,2.0,1.0,L,999.0,4.0,9.0,9.0,,9,9,9.0,
