,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
73759,0.2435275187,_A,2004,15,16,ES,0.0,1,9,3,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2000,99.0,2,1,9.0,20,16,,,12,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,48,,,9.0,9.0,04,9,9,9.0,9.0
73820,0.2388194661,_A,2004,16,17,ES,0.0,1,9,3,2,4,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,1.0,5.0,4,5.0,3.0,1,0,0,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,5.0,9.0,9.0,,02,9,9,9.0,
73847,0.2021331137,_A,2004,25,26,ES,0.0,1,9,2,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,6.0,5.0,4,6.0,3.0,1,1,1,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,1.0,9.0,9.0,,05,9,9,9.0,
73892,0.1721974805,_A,2004,21,22,ES,0.0,1,9,6,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,3.0,3.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,2,3.0,1,L,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
73894,0.1946094185,_A,2004,25,26,ES,3.0,1,9,5,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,6.0,5.0,4,6.0,1.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,1.0,9.0,9.0,,02,9,9,9.0,
73899,0.2222742783,_A,2004,21,22,ES,3.0,1,9,2,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,12.0,5.0,4,6.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,03,9,9,9.0,
73925,0.0871123655,_A,2004,26,27,ES,3.0,1,9,1,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,2.0,2,2,,20,20,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,3.0,0,0,1,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,1,9.0,1,H,4,,,9.0,9.0,03,9,9,9.0,9.0
73940,0.1909070094,_A,2004,15,16,ES,3.0,1,9,1,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,8.0,5.0,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,6.0,9.0,9.0,,6+,9,9,9.0,
73969,0.1276570891,_A,2004,23,24,ES,3.0,1,9,4,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1988,99.0,9.0,4,6.0,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,8.0,9.0,9.0,9.0,02,9,9,9.0,9.0
73971,0.1344375919,_A,2004,24,25,ES,0.0,1,9,5,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,4.0,5.0,4,3.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,04,9,9,9.0,
73984,0.2036718755,_A,2004,25,26,ES,3.0,1,9,3,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,4.0,5.0,4,6.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,03,9,9,9.0,
74019,0.2153426982,_A,2004,16,17,ES,0.0,1,9,3,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2003,8.0,2,2,,8,8,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,1,5.0,2.0,999.0,1,9.0,1,H,8,,,9.0,9.0,04,9,9,9.0,9.0
74052,0.5708949898,_A,2004,21,22,ES,0.0,1,9,2,2,5,2004,1,2,32.0,NO ANSWER,,NO ANSWER,2.0,99,5.0,9,000-OWN COUNTRY,2004,1.0,1,9,9.0,60,60,99.0,99.0,97,,60.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,1.0,0,0,1,0,0,1,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,H,4,,,9.0,9.0,04,9,9,9.0,9.0
74075,0.2607236646,_A,2004,20,21,ES,0.0,1,9,1,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,4.0,1,2,,40,40,,,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,H,1,,,9.0,9.0,03,9,9,9.0,9.0
74088,0.2634173512,_A,2004,24,25,ES,3.0,1,9,5,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,11.0,5.0,4,6.0,3.0,0,0,1,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,6.0,9.0,9.0,,04,9,9,9.0,
74090,0.0694790339,_A,2004,19,20,ES,0.0,1,9,6,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,M,999,3.0,9.0,9.0,,03,9,9,9.0,
74104,0.268035225,_A,2004,16,17,ES,0.0,1,9,5,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,1.0,5.0,4,6.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,2,2,9.0,2.0,999.0,3,9.0,0,L,999,5.0,9.0,9.0,,03,9,9,9.0,
74118,0.2638287492,_A,2004,22,23,ES,3.0,1,9,3,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,11.0,5.0,4,3.0,2.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,04,9,9,9.0,
74127,0.2525233768,_A,2004,18,19,ES,0.0,1,9,5,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,3.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
74129,0.69892912,_A,2004,20,21,ES,0.0,1,9,4,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1999,99.0,5.0,4,3.0,3.0,0,0,1,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,8.0,9.0,9.0,,04,9,9,9.0,
74151,0.1345888144,_A,2004,24,25,ES,3.0,1,9,2,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,1.0,5.0,4,5.0,1.0,1,0,0,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,H,999,3.0,9.0,9.0,,03,9,9,9.0,
74199,0.0679080466,_A,2004,20,21,ES,0.0,1,9,4,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,3.0,1,0,0,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
74205,0.1817572766,_A,2004,21,22,ES,3.0,1,9,2,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,3.0,5.0,4,3.0,1.0,1,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,03,9,9,9.0,
74206,0.2548719959,_A,2004,22,23,ES,0.0,1,9,2,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,,5.0,4,6.0,3.0,0,1,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,M,999,7.0,9.0,9.0,,04,9,9,9.0,
74209,0.2091172411,_A,2004,20,21,ES,0.0,1,9,4,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
74224,0.7099562502,_A,2004,19,20,ES,3.0,1,9,6,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,1.0,5.0,4,6.0,3.0,0,1,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,5.0,9.0,9.0,,04,9,9,9.0,
74229,0.2356854776,_A,2004,23,24,ES,3.0,1,9,1,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,3.0,3.0,1,0,1,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
74230,0.6435353026,_A,2004,16,17,ES,0.0,1,9,2,2,4,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,9.0,5.0,4,,,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,2,2,9.0,2.0,999.0,3,9.0,0,L,999,4.0,9.0,9.0,,03,9,9,9.0,
74231,0.0957966053,_A,2004,14,15,ES,0.0,1,9,6,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,2.0,1.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,02,9,9,9.0,
74249,0.3170474397,_A,2004,22,25,ES,3.0,1,9,1,2,5,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,2.0,5.0,4,6.0,3.0,0,0,1,0,0,0,0,0,0,1,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,5.0,9.0,9.0,,01,9,9,9.0,
74261,0.0904625295,_A,2004,17,18,ES,3.0,1,9,1,2,4,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,2.0,1.0,0,0,0,0,0,0,0,0,0,1,1.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,2.0,9.0,9.0,,02,9,9,9.0,
74263,0.1040573599,_A,2004,21,22,ES,0.0,1,9,3,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,7.0,5.0,4,5.0,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,2,2,9.0,2.0,999.0,3,9.0,0,L,999,6.0,9.0,9.0,,03,9,9,9.0,
74273,0.1276310505,_A,2004,26,27,ES,3.0,1,9,1,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,12.0,5.0,4,2.0,2.0,0,0,1,1,0,0,0,0,0,0,1.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,04,9,9,9.0,
74283,0.24375317,_A,2004,22,23,ES,0.0,1,9,3,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,3.0,1.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,1,2.0,2.0,999.0,2,1.0,1,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
74287,0.1452653085,_A,2004,26,27,ES,0.0,1,9,5,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,2.0,1,2,2.0,40,40,,,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,L,4,,,9.0,9.0,04,9,9,9.0,9.0
74304,0.2478861582,_A,2004,16,17,ES,0.0,1,9,3,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,3.0,1,1,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
74317,0.2274959877,_A,2004,17,18,ES,0.0,1,9,5,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,4.0,5.0,4,6.0,1.0,1,0,1,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,5.0,9.0,9.0,,05,9,9,9.0,
74335,0.2038248451,_A,2004,22,23,ES,3.0,1,9,2,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,8.0,5.0,4,3.0,2.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,4.0,9.0,9.0,,03,9,9,9.0,
74341,0.2336928763,_A,2004,18,19,ES,0.0,1,9,2,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,9.0,5.0,4,2.0,2.0,0,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,03,9,9,9.0,
74346,0.0546188271,_A,2004,25,26,ES,0.0,1,9,6,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004,4.0,2,2,,18,18,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,2,,,9.0,9.0,03,9,9,9.0,9.0
74358,0.284882402,_A,2004,20,21,ES,3.0,1,9,4,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,4.0,5.0,4,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,03,9,9,9.0,
74403,0.1426445193,_A,2004,20,21,ES,3.0,1,9,3,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,2.0,1,0,1,1,0,0,0,0,0,0,,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
74408,0.1154018485,_A,2004,22,23,ES,0.0,1,9,5,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,4.0,5.0,4,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,03,9,9,9.0,
74420,0.319505371,_A,2004,24,25,ES,0.0,1,9,6,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,,5.0,4,6.0,3.0,0,1,1,1,1,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,7.0,9.0,9.0,,03,9,9,9.0,
74447,0.2225379729,_A,2004,17,18,ES,0.0,1,9,1,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,0.0,4,4.0,1.0,0,0,1,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,03,9,9,9.0,
74449,0.5226335207,_A,2004,18,19,ES,0.0,1,9,2,2,4,2004,1,2,32.0,NO ANSWER,,NO ANSWER,2.0,99,5.0,9,000-OWN COUNTRY,2003,10.0,1,1,9.0,40,46,,,16,,50.0,1,1,9.0,99,9,9999,99.0,9.0,9,5.0,2.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,H,6,,,9.0,9.0,02,9,9,9.0,9.0
74453,0.2258079795,_A,2004,14,15,ES,0.0,1,9,6,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1998,99.0,5.0,4,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,M,999,8.0,9.0,9.0,,03,9,9,9.0,
74455,0.2714005483,_A,2004,24,25,ES,3.0,1,9,3,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,3.0,2,2,3.0,8,8,,,97,1.0,30.0,1,2,5.0,5,9,9999,99.0,9.0,9,3.0,3.0,0,1,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,1,9.0,1,H,3,,,,9.0,04,9,9,,9.0
74462,0.0681490324,_A,2004,25,26,ES,0.0,1,9,6,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2002,,2,1,9.0,14,14,,,97,1.0,38.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,30,,,9.0,9.0,04,9,9,9.0,9.0
74464,0.2374770375,_A,2004,14,15,ES,0.0,1,9,3,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,9.0,5.0,4,6.0,2.0,0,1,0,0,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,4.0,9.0,9.0,,04,9,9,9.0,
74491,0.1201686036,_A,2004,18,19,ES,3.0,1,9,1,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
74498,0.1781219868,_A,2004,26,27,ES,3.0,1,9,1,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,1.0,5.0,4,2.0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,05,9,9,9.0,
74500,0.2200818597,_A,2004,19,20,ES,3.0,1,9,5,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,10.0,5.0,4,3.0,2.0,0,0,1,1,0,0,0,0,0,0,1.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,4.0,9.0,9.0,,01,9,9,9.0,
74501,0.0584692908,_A,2004,25,26,ES,3.0,1,9,4,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1998,99.0,1,1,9.0,40,40,,,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,1.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,H,72,,,9.0,9.0,04,9,9,9.0,9.0
