,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
59144,0.0287010046,_A,2013,40,42.0,DK,0.0,1,9,3,2,10,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,1.0,3.0,1.0,8.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
59160,0.1165359749,_A,2013,3,4.0,DK,0.0,1,9,3,2,1,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,6,5,4,3,3,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,999.0,500.0,9.0,0.0,L,999.0,6.0,9,9,L,9,9,9,H
59171,0.0659105436,_A,2013,18,20.0,DK,0.0,1,9,4,2,5,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,6.0,1.0,2.0,5.0,32.0,30.0,0,0,7.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,3,1,1,1,1,1,1,0,0,0,0,1,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,900.0,999.0,9.0,0.0,L,11.0,,H,9,9,9,9,9,9
59196,0.0933278441,_A,2013,42,44.0,DK,0.0,1,9,3,2,10,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,2,5,4,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,8.0,2.0,999.0,500.0,3.0,1.0,L,999.0,6.0,9,9,G,9,9,9,G
59228,0.0214046462,_A,2013,44,46.0,DK,0.0,1,9,4,2,10,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,2.0,1.0,9.0,5.0,5.0,0,0,97.0,1.0,20.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,3,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,1.0,,1.0,153.0,1.0,300.0,999.0,9.0,1.0,L,36.0,,H,9,9,9,9,9,9
59262,0.040334867,_A,2013,47,49.0,DK,3.0,1,9,4,2,11,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,8.0,1.0,2.0,4.0,37.0,8.0,0,0,8.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,3.0,,H,9,9,9,9,9,9
59265,0.0974672878,_A,2013,10,12.0,DK,0.0,1,9,3,2,3,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,3,5,4,3,2,0,0,1,1,1,1,1,0,0,1,0,0,0,9.0,1,1.0,,1.0,15.0,2.0,999.0,500.0,2.0,1.0,L,999.0,5.0,9,9,G,9,9,9,G
59269,0.031144557,_A,2013,10,11.0,DK,0.0,1,9,2,2,3,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,11,5,4,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,9.0,1,1.0,3.0,2.0,999.0,2.0,999.0,900.0,1.0,1.0,L,999.0,3.0,9,9,C,9,9,9,B
59280,0.0277344892,_A,2013,25,26.0,DK,0.0,1,9,2,2,6,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,5.0,2.0,1.0,9.0,8.0,9.0,0,0,1.0,1.0,20.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,1.0,3.0,2.0,999.0,1.0,500.0,999.0,9.0,1.0,L,1.0,,G,9,9,9,9,9,9
59317,0.0264545563,_A,2013,37,38.0,DK,3.0,1,9,2,2,9,2013,1,1.0,20.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,9.0,2.0,1.0,9.0,20.0,20.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,M,0.0,,H,9,9,9,9,9,9
59341,,_A,2013,26,28.0,DK,0.0,1,9,4,2,6,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,1.0,,,999.0,3.0,999.0,999.0,9.0,1.0,,999.0,,9,9,9,9,9,9,9
59353,0.0468504007,_A,2013,14,16.0,DK,0.0,1,9,1,2,4,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,2,5,4,5,1,0,0,0,1,1,1,0,0,0,0,1,0,0,9.0,1,1.0,5.0,2.0,999.0,2.0,999.0,400.0,1.0,1.0,M,999.0,2.0,9,9,J,9,9,9,H
59400,0.0423017419,_A,2013,12,14.0,DK,0.0,1,9,1,2,3,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,3,1,1,0,1,1,1,1,0,0,0,0,1,0,0,9.0,1,2.0,9.0,1.0,4.0,2.0,999.0,200.0,1.0,1.0,H,999.0,7.0,9,9,Q,9,9,9,H
59402,0.0572750821,_A,2013,3,4.0,DK,3.0,1,9,1,2,1,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,4,5,4,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,200.0,3.0,0.0,H,999.0,6.0,9,9,P,9,9,9,H
59407,0.0817314508,_A,2013,39,40.0,DK,3.0,1,9,3,2,9,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,4.0,1.0,2.0,3.0,37.0,41.0,0,0,1.0,0.0,35.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,1,1,1,1,1,1,0,0,1,0,0,0,9.0,9,2.0,9.0,1.0,10.0,1.0,200.0,999.0,9.0,1.0,H,5.0,,H,9,9,9,9,9,9
59422,0.0362040478,_A,2013,16,18.0,DK,0.0,1,9,1,2,4,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,11,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,1,1.0,5.0,1.0,10.0,2.0,999.0,500.0,1.0,1.0,M,999.0,5.0,9,9,Q,9,9,9,H
59432,0.0322295738,_A,2013,16,17.0,DK,0.0,1,9,1,2,4,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,1,1,0,0,0,0,0,1,0,0,0,9.0,1,1.0,2.0,1.0,,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
59444,0.0266360212,_A,2013,21,23.0,DK,0.0,1,9,1,2,5,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,9,0,4,3,2,0,1,1,1,1,1,1,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,2.0,0.0,,999.0,4.0,9,9,G,9,9,9,G
59455,0.0396069836,_A,2013,29,30.0,DK,0.0,1,9,4,2,7,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2008.0,99.0,1.0,1.0,9.0,45.0,0.0,0,0,99.0,0.0,40.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,16.0,1.0,200.0,999.0,9.0,1.0,H,60.0,,H,9,9,9,9,9,9
59465,0.0204029697,_A,2013,8,9.0,DK,0.0,1,9,4,2,2,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,1.0,3.0,2.0,999.0,2.0,999.0,900.0,1.0,1.0,L,999.0,2.0,9,9,S,9,9,9,H
59476,0.058544956,_A,2013,7,8.0,DK,0.0,1,9,2,2,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,1.0,3.0,2.0,999.0,3.0,999.0,700.0,9.0,1.0,L,999.0,7.0,9,9,G,9,9,9,G
59495,0.072793243,_A,2013,3,5.0,DK,0.0,1,9,3,2,1,2013,1,2.0,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,48.0,3.0,999.0,200.0,9.0,1.0,,999.0,7.0,9,9,P,9,9,9,H
59531,0.0574203579,_A,2013,16,17.0,DK,0.0,1,9,1,2,4,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,34.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,3,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,400.0,999.0,9.0,0.0,M,132.0,,H,9,9,9,9,9,9
59558,0.0701140019,_A,2013,16,18.0,DK,0.0,1,9,1,2,4,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,3,5,4,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,200.0,1.0,0.0,M,999.0,2.0,9,9,P,9,9,9,H
59566,0.0530010472,_A,2013,42,44.0,DK,0.0,1,9,3,2,10,2013,1,1.0,20.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,1.0,0.0,M,999.0,7.0,9,9,C,9,9,9,B
59571,0.0380097481,_A,2013,35,36.0,DK,0.0,1,9,2,2,8,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,5.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,H,15.0,,G,9,9,9,9,9,9
59585,,_A,2013,12,13.0,DK,0.0,1,9,4,2,3,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1986.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,9.0,9,2.0,9.0,,999.0,1.0,200.0,999.0,9.0,,,324.0,,H,9,9,9,9,9,9
59617,0.025467809,_A,2013,52,2.0,DK,0.0,1,9,3,2,12,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,7,5,4,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0,1,1.0,3.0,2.0,999.0,3.0,999.0,900.0,9.0,1.0,L,999.0,3.0,9,9,G,9,9,9,G
59621,0.0310283959,_A,2013,27,29.0,DK,0.0,1,9,2,2,7,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,5.0,2.0,1.0,9.0,8.0,9.0,0,0,1.0,1.0,38.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,M,2.0,,H,9,9,9,9,9,9
59628,0.0895097301,_A,2013,14,16.0,DK,3.0,1,9,1,2,4,2013,1,1.0,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,3,5,4,3,1,1,0,1,1,1,1,0,0,0,1,1,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,600.0,1.0,0.0,,999.0,2.0,9,9,A,9,9,9,A
59634,0.0935259984,_A,2013,16,18.0,DK,0.0,1,9,1,2,4,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2011.0,,2.0,1.0,9.0,30.0,30.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,1.0,2.0,1.0,200.0,999.0,9.0,1.0,H,28.0,,H,9,9,9,9,9,9
59636,,_A,2013,19,21.0,DK,3.0,1,9,4,2,5,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,5,1,0,1,1,1,1,0,0,0,0,1,0,0,0,9.0,1,1.0,,,999.0,2.0,999.0,999.0,1.0,1.0,,999.0,,9,9,9,9,9,9,9
59639,0.0449614878,_A,2013,45,47.0,DK,3.0,1,9,1,2,11,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2011.0,9.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,1.0,40.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,4.0,1.0,700.0,999.0,9.0,1.0,M,26.0,,B,9,9,9,9,9,9
59648,0.0462516328,_A,2013,38,40.0,DK,0.0,1,9,3,2,9,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,2,1,1,0,1,1,1,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,999.0,1.0,0.0,L,999.0,,9,9,9,9,9,9,9
59663,0.0922035491,_A,2013,44,45.0,DK,0.0,1,9,4,2,10,2013,1,2.0,32.0,005-EU28,5.0,005-EU28,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,8,5,4,3,1,0,0,1,1,0,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,1.0,24.0,2.0,999.0,200.0,1.0,1.0,H,999.0,2.0,9,9,G,9,9,9,G
59707,0.0330564614,_A,2013,3,4.0,DK,3.0,1,9,2,2,1,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2009.0,99,5,4,3,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,1.0,0.0,H,999.0,8.0,9,9,O,9,9,9,H
59710,0.0777958781,_A,2013,47,49.0,DK,0.0,1,9,2,2,11,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2008.0,99.0,1.0,1.0,9.0,37.0,40.0,0,0,16.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,1.0,8.0,1.0,500.0,999.0,9.0,1.0,H,60.0,,H,9,9,9,9,9,9
59721,0.0504071879,_A,2013,29,31.0,DK,0.0,1,9,4,2,7,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,9.0,9,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,H,36.0,,G,9,9,9,9,9,9
59756,0.0488033434,_A,2013,41,43.0,DK,0.0,1,9,1,2,10,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,1984.0,99.0,1.0,9.0,9.0,40.0,15.0,99,99,,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,348.0,,H,9,9,9,9,9,9
59784,0.0282247006,_A,2013,31,33.0,DK,3.0,1,9,2,2,8,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2013.0,4.0,2.0,1.0,9.0,18.0,0.0,0,0,99.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,M,4.0,,H,9,9,9,9,9,9
59787,0.066501549,_A,2013,2,3.0,DK,3.0,1,9,2,2,1,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,10,5,4,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,L,999.0,3.0,9,9,I,9,9,9,H
59811,0.0490827211,_A,2013,22,23.0,DK,0.0,1,9,4,2,5,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1999.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,168.0,,H,9,9,9,9,9,9
59815,0.0527596598,_A,2013,7,8.0,DK,3.0,1,9,2,2,2,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,1.0,1.0,2.0,999.0,200.0,1.0,1.0,M,999.0,2.0,9,9,R,9,9,9,H
59845,0.042163632,_A,2013,5,6.0,DK,0.0,1,9,1,2,1,2013,1,2.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,2,5,4,2,3,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,400.0,3.0,0.0,L,999.0,6.0,9,9,O,9,9,9,H
59848,0.0384102546,_A,2013,3,4.0,DK,3.0,1,9,2,2,1,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,1.0,3.0,1.0,20.0,2.0,999.0,900.0,1.0,1.0,L,999.0,2.0,9,9,G,9,9,9,G
59876,0.0188373445,_A,2013,49,51.0,DK,0.0,1,9,1,2,12,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,1,1.0,,2.0,999.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
59890,0.0542714008,_A,2013,50,52.0,DK,0.0,1,9,4,2,12,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,9.0,1.0,2.0,2.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,900.0,999.0,9.0,0.0,L,3.0,,G,9,9,9,9,9,9
59933,0.0404376707,_A,2013,18,20.0,DK,3.0,1,9,3,2,5,2013,1,1.0,20.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,1.0,2.0,1.0,10.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
59957,0.0186398404,_A,2013,16,18.0,DK,3.0,1,9,1,2,4,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,9.0,2.0,1.0,9.0,12.0,12.0,0,0,97.0,1.0,14.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,1.0,2.0,2.0,999.0,1.0,900.0,999.0,9.0,1.0,L,7.0,,H,9,9,9,9,9,9
59959,0.0242121182,_A,2013,19,21.0,DK,0.0,1,9,3,2,5,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,8,5.0,4,000-OWN COUNTRY,2011.0,5.0,2.0,1.0,9.0,1.0,0.0,0,0,99.0,1.0,8.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,9.0,2,1.0,2.0,2.0,999.0,1.0,900.0,999.0,9.0,1.0,L,24.0,,H,9,9,9,9,9,9
